"year","lower","median","upper"
1998,2.39085245350691,2.8841089968497,3.64769975159785
1999,2.95102656395457,3.61351480570308,4.73082085064583
2000,2.49912013798894,3.02310376358746,3.85605864632768
2001,1.66609104952541,2.01044216484127,2.44166662304147
2002,1.364646268676,1.70091583505961,2.07050586079562
2003,1.50348620959834,1.83680350577697,2.23192557202002
2004,1.41178337943988,1.74763025642603,2.12443058739821
2005,0.377493280933611,0.883840659396645,1.23857112104251
2006,1.25568627304425,1.59702477771167,1.95246727920623
2007,0.788956554819413,1.2023007822355,1.52906880259506
2008,1.21823516450928,1.56475684610981,1.91738339771526
2009,0.861623985218213,1.25912884129888,1.5872957718875
2010,0.397673994785139,0.897119266634717,1.24906020907457
2011,0.714755035199274,1.13733669760572,1.46394351410788
2012,1.41630908436061,1.75105052904402,2.12850954400325
2013,0.771822544142782,1.18818490395065,1.51554582300298
2014,0.388243734321672,0.891253041070329,1.24443103204321
2015,1.2092285564788,1.55680487503793,1.90829736774178
2016,0.731945024710667,1.15365737781065,1.4810075956049
2017,1.54618426066706,1.88158148788953,2.28426878144167
2018,1.18170090632746,1.53024153288892,1.88033031727961
2019,0.356157882707877,0.870975182950156,1.22842288997181
